_id,INTERSECTION_ID,LINEAR_NAME_FULL_1,LINEAR_NAME_FULL_2,ID,X,Y,LONGITUDE,LATITUDE,OBJECTID,geometry
646,13446514.0,Ellesmere Rd,Bellamy Rd N,113,325588.795,4848296.148,-79.241759,43.774334,113,"{u'type': u'Point', u'coordinates': (-79.2417590067, 43.7743339999)}"
647,13450163.0,Lawrence Ave E,Kennedy Rd,114,322925.653,4845529.051,-79.274934,43.749497,114,"{u'type': u'Point', u'coordinates': (-79.2749340071, 43.7494969991)}"
648,13454488.0,Warden Ave,Comstock Rd,115,322123.613,4842420.1,-79.284993,43.721532,115,"{u'type': u'Point', u'coordinates': (-79.2849930049, 43.721532)}"
649,13443955.0,Sheppard Ave E,Malvern St,116,326131.23,4850556.265,-79.234931,43.794662,116,"{u'type': u'Point', u'coordinates': (-79.2349310078, 43.7946620094)}"
650,13456668.0,Rexdale Blvd,Kipling Ave,117,299424.787,4841307.839,-79.566702,43.711703,117,"{u'type': u'Point', u'coordinates': (-79.5667019991, 43.7117030085)}"
651,13458367.0,Weston Rd,Lawrence Ave W,118,303494.184,4840023.2069999995,-79.516201,43.700158,118,"{u'type': u'Point', u'coordinates': (-79.5162009996, 43.7001579982)}"
652,13452733.0,Islington Ave,Albion Rd,119,299539.599,4844144.356000001,-79.56530500000001,43.737235999999996,119,"{u'type': u'Point', u'coordinates': (-79.565305007, 43.7372359966)}"
653,13469672.0,The Queensway,Islington Ave,120,303606.961,4831517.1219999995,-79.514783,43.623591999999995,120,"{u'type': u'Point', u'coordinates': (-79.514782999, 43.6235920007)}"
654,,,,121,311230.822,4850895.951,-79.420084,43.797999,121,"{u'type': u'Point', u'coordinates': (-79.4200839984, 43.7979990068)}"
655,13463893.0,St Clair Ave W,Runnymede Rd,122,306125.44399999996,4836560.936000001,-79.483564,43.668993,122,"{u'type': u'Point', u'coordinates': (-79.4835639906, 43.6689929997)}"
656,13453141.0,Warden Ave,Ashtonbee Rd,123,321817.338,4843439.068,-79.288762,43.730711,123,"{u'type': u'Point', u'coordinates': (-79.2887619944, 43.7307110017)}"
657,13456952.0,Keele St,Lawrence Ave W,124,306567.974,4840967.7360000005,-79.478062,43.708659000000004,124,"{u'type': u'Point', u'coordinates': (-79.4780619981, 43.7086590072)}"
658,13442651.0,Birchmount Rd,McNicoll Ave,125,319992.572,4852092.03,-79.31116800000001,43.808637,125,"{u'type': u'Point', u'coordinates': (-79.3111679979, 43.8086369999)}"
659,13442502.0,Finch Ave E,Middlefield Rd,126,324294.041,4852242.217,-79.257699,43.809888,126,"{u'type': u'Point', u'coordinates': (-79.2576989968, 43.8098879984)}"
660,13459022.0,Dixon Rd,Islington Ave,127,301033.24199999997,4839678.746,-79.54673100000001,43.697049,127,"{u'type': u'Point', u'coordinates': (-79.5467310031, 43.6970490024)}"
661,13468134.0,Spadina Ave,Bremner Blvd,128,313432.517,4833407.843,-79.393004,43.640562,128,"{u'type': u'Point', u'coordinates': (-79.3930040015, 43.6405620021)}"
662,13469508.0,The Queensway,Royal York Rd,129,304587.598,4831821.8610000005,-79.50263199999999,43.626336,129,"{u'type': u'Point', u'coordinates': (-79.5026320023, 43.6263360043)}"
663,13468803.0,Lake Shore Blvd W,Strachan Ave,130,312163.268,4832726.431,-79.408745,43.634442,130,"{u'type': u'Point', u'coordinates': (-79.4087450089, 43.6344420022)}"
664,13448547.0,Lawrence Ave E,Markham Rd,131,326917.185,4846688.17,-79.225324,43.759822,131,"{u'type': u'Point', u'coordinates': (-79.2253240008, 43.7598219975)}"
665,13455910.0,Jane St,Falstaff Ave,132,304217.887,4841722.643999999,-79.507224,43.715456,132,"{u'type': u'Point', u'coordinates': (-79.5072239973, 43.7154560102)}"
666,13454662.0,Avenue Rd,Lawrence Ave W,133,311599.49600000004,4842481.4180000005,-79.415609,43.722255,133,"{u'type': u'Point', u'coordinates': (-79.4156090061, 43.722255002)}"
667,13443081.0,Pharmacy Ave,McNicoll Ave,134,318419.405,4851587.02,-79.33073399999999,43.804122,134,"{u'type': u'Point', u'coordinates': (-79.3307340026, 43.8041220005)}"
668,13445553.0,Markham Rd,Progress Ave,135,326219.61600000004,4849121.603,-79.23389,43.781746000000005,135,"{u'type': u'Point', u'coordinates': (-79.2338900026, 43.781745998)}"
669,13444062.0,Markham Rd,Sheppard Ave E,136,325824.016,4850467.187,-79.238752,43.793869,136,"{u'type': u'Point', u'coordinates': (-79.2387520051, 43.7938690047)}"
670,13445096.0,Don Mills Rd,Van Horne Ave,137,316628.82399999996,4849719.717,-79.353029,43.787345,137,"{u'type': u'Point', u'coordinates': (-79.3530289956, 43.7873450079)}"
671,13443095.0,Sheppard Ave E,Morningside Ave,138,328957.76,4851378.268,-79.199771,43.801974,138,"{u'type': u'Point', u'coordinates': (-79.1997710049, 43.8019740057)}"
672,13443245.0,Morningside Ave,Milner Ave,139,329014.045,4851190.27,-79.19908000000001,43.80028,139,"{u'type': u'Point', u'coordinates': (-79.1990800063, 43.8002799963)}"
673,13442363.0,Kennedy Rd,McNicoll Ave,140,320733.682,4852482.495,-79.30194499999999,43.812135999999995,140,"{u'type': u'Point', u'coordinates': (-79.3019450092, 43.8121360061)}"
674,13446212.0,Markham Rd,Ellesmere Rd,141,326393.29600000003,4848532.234,-79.231756,43.776436,141,"{u'type': u'Point', u'coordinates': (-79.2317560025, 43.7764360087)}"
675,13466139.0,Bloor St W,Keele St,142,308022.601,4834974.484,-79.460048,43.654707,142,"{u'type': u'Point', u'coordinates': (-79.4600479973, 43.654707001)}"
676,13461355.0,Eglinton Ave W,Scarlett Rd,143,303876.30600000004,4838223.847,-79.511457,43.683962,143,"{u'type': u'Point', u'coordinates': (-79.5114570043, 43.6839620013)}"
677,13445306.0,Steeles Ave W,Dufferin St,144,307207.36199999996,4849702.765,-79.470089,43.787283,144,"{u'type': u'Point', u'coordinates': (-79.4700889909, 43.7872830029)}"
678,13463882.0,Dufferin St,Dupont St,145,309716.424,4836503.843,-79.439035,43.668464,145,"{u'type': u'Point', u'coordinates': (-79.4390350097, 43.6684640113)}"
679,13467841.0,Bloor St W,Islington Ave,146,302909.13300000003,4833856.478,-79.523438,43.644648,146,"{u'type': u'Point', u'coordinates': (-79.5234379985, 43.6446480025)}"
680,,,,147,295612.693,4846172.56,-79.61409,43.755454,147,"{u'type': u'Point', u'coordinates': (-79.614089995, 43.7554540003)}"
681,13447608.0,Steeles Ave W,Signet Dr,148,301302.17100000003,4847885.371,-79.543448,43.770920000000004,148,"{u'type': u'Point', u'coordinates': (-79.543448001, 43.7709200085)}"
