_id,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,CENTRELINE_ID,LO_NUM,LO_NUM_SUF,HI_NUM,HI_NUM_SUF,LINEAR_NAME_ID,WARD_NAME,X,Y,LONGITUDE,LATITUDE,MI_PRINX,OBJECTID,CAPACITY,MULTIMODAL,SEASONAL,SHELTERED,SURFACE,STATUS,LOCATION,NOTES,MAP_CLASS,geometry
1154,8417253,329,Geary Ave,329 Geary Ave,M6H 2C6,former TORONTO,Toronto,14630189,329,,,,3490,Davenport (909),309405.098,4836518.313,-79.44289866,43.66860483,1777412,190,8,No,No,,asphalt,Approved,back of walk,,Multi-Bike Rack,"{u'type': u'Point', u'coordinates': (-79.442895411, 43.6685962542)}"
1155,8676866,33,Yonge St,33 Yonge St,M5E 1G4,former TORONTO,Toronto,8676863,33,,,,4733,Toronto Centre (1313),314756.126,4834187.08,-79.3765874,43.64756824,2689237,191,5,No,No,,pavers,Installed,front of walk,,Multi-Bike Rack (Angled),"{u'type': u'Point', u'coordinates': (-79.3765841655, 43.6475596554)}"
1156,10364794,416,Dawes Rd,416 Dawes Rd,M4B 2E8,EAST YORK,Toronto,10364790,416,,,,88,Beaches-East York (1919),321143.187,4840159.076,-79.29723304,43.70121089,2338623,192,8,No,No,,concrete,Installed,back of walk,S side of library,Multi-Bike Rack,"{u'type': u'Point', u'coordinates': (-79.2972298271, 43.7012022929)}"
1157,3739887,475,Yonge St,475 Yonge St,M4Y 1X7,former TORONTO,Toronto,3739890,475,,,,4733,Toronto Centre (1313),314236.891,4835850.823,-79.38299474,43.66255092,2963240,193,5,No,No,,concrete,Approved,front of walk,,Multi-Bike Rack (Angled),"{u'type': u'Point', u'coordinates': (-79.3829914989, 43.6625423313)}"
1158,772833,481,Bloor St W,481 Bloor St W,M5S 1X9,former TORONTO,Toronto,1142870,481,,,,458,University-Rosedale (1111),312290.721,4836205.138,-79.40712045,43.66576237,1755303,194,8,No,No,,asphalt,Approved,boulevard,straight adjacent to current one,Multi-Bike Rack,"{u'type': u'Point', u'coordinates': (-79.4071172093, 43.6657537894)}"
1159,10223681,499,King St W,499 King St W,M5V 1K4,former TORONTO,Toronto,10223667,499,,,,3780,Spadina-Fort York (1010),313068.655,4833859.139,-79.39751022,43.64463699,2755281,195,8,No,No,,concrete,Approved,front of walk,,Multi-Bike Rack,"{u'type': u'Point', u'coordinates': (-79.3975069873, 43.6446284116)}"
1160,2854061,525,University Ave,525 University Ave,M5G 2L3,former TORONTO,Toronto,2854059,525,,,,4583,University-Rosedale (1111),313816.151,4835151.153,-79.38822319,43.65625818,2167439,196,8,No,No,,pavers,Proposed,front of walk,,Multi-Bike Rack,"{u'type': u'Point', u'coordinates': (-79.3882199503, 43.6562495915)}"
1161,7792696,555,University Ave,555 University Ave,M5G 1X8,former TORONTO,Toronto,7792694,555,,,,4583,University-Rosedale (1111),313879.359,4835274.995,-79.38743746,43.65737215,1591293,197,8,No,No,,concrete,Proposed,front of walk,,Multi-Bike Rack,"{u'type': u'Point', u'coordinates': (-79.387434232, 43.6573635657)}"
1162,10180175,587,King St W,587 King St W,M5V 1M5,former TORONTO,Toronto,14674277,587,,,,3780,Spadina-Fort York (1010),312852.632,4833815.287,-79.40018856,43.64424464,2266439,198,8,No,No,,concrete,Approved,front of walk,,Multi-Bike Rack,"{u'type': u'Point', u'coordinates': (-79.4001853211, 43.6442360535)}"
1163,14206202,607,Bloor St W,607 Bloor St W,M6G 1K5,former TORONTO,Toronto,8353520,607,,,,458,University-Rosedale (1111),311794.592,4836067.577,-79.41327409,43.66452897,2210315,199,5,No,No,,concrete,Approved,front of walk,angled rack adjacent tree box,Multi-Bike Rack (Angled),"{u'type': u'Point', u'coordinates': (-79.413270842, 43.6645203908)}"
1164,14235368,661,University Ave,661 University Ave,M5G 1M1,former TORONTO,Toronto,7792702,661,,,,4583,University-Rosedale (1111),313708.597,4835506.243,-79.38955076,43.65945575,2841260,200,5,No,No,,pavers,Proposed,front of walk,,Multi-Bike Rack (Angled),"{u'type': u'Point', u'coordinates': (-79.3895475175, 43.6594471708)}"
1165,7792705,671,University Ave,671 University Ave,,former TORONTO,Toronto,7792702,671,,,,4583,University-Rosedale (1111),313666.306,4835545.891,-79.39007445,43.65981315,2981787,201,8,Yes,No,,concrete,Proposed,north side: TTC,,Multi-Bike Rack,"{u'type': u'Point', u'coordinates': (-79.3900712068, 43.659804561)}"
1166,7570903,962,Queen St W,962 Queen St W,M6J 1G8,former TORONTO,Toronto,7570894,962,,,,4238,Spadina-Fort York (1010),311477.897,4833871.941,-79.41722809,43.6447682,3038700,202,5,No,No,,concrete,Installed,front of walk,,Multi-Bike Rack (Angled),"{u'type': u'Point', u'coordinates': (-79.4172248355, 43.6447596251)}"
1167,20068494,1151,Queen St W,1151 Queen St W,M6J 1J4,former TORONTO,Toronto,7553178,1151,,,,4238,Davenport (909),310887.16,4833661.879,-79.42455285,43.64288243,2549364,203,14,No,Yes,No,,Installed,,,Bike Corral,"{u'type': u'Point', u'coordinates': (-79.4245496133, 43.6428738482)}"
1168,7792447,171,Dundas St W,171 Dundas St W,M5G 1C7,former TORONTO,Toronto,7792444,171,,,,558,Spadina-Fort York (1010),313979.72,4835019.807,-79.38619754,43.65507388,2522240,204,14,No,Yes,No,,Proposed,,,Bike Corral,"{u'type': u'Point', u'coordinates': (-79.3861942983, 43.6550653012)}"
1169,30012845,245,Wallace Ave,245 Wallace Ave,M6H 1V5,former TORONTO,Toronto,14013655,245,,,,4617,Davenport (909),309110.374,4835754.684,-79.44655617,43.66172434,3813655,205,14,No,Yes,No,,Proposed,,,Bike Corral,"{u'type': u'Point', u'coordinates': (-79.4465561733, 43.6617243418)}"
1170,7641780,251,Victoria St,251 Victoria St,M5B 1T8,former TORONTO,Toronto,7641770,251,,,,9790,Toronto Centre (1313),314555.816,4835102.749,-79.3790539,43.65581313,2062125,206,14,No,Yes,No,,Proposed,,,Bike Corral,"{u'type': u'Point', u'coordinates': (-79.3790506572, 43.6558045563)}"
1171,9942213,268,College St,268 College St,M5T 1S1,former TORONTO,Toronto,14022731,268,,,,9765,University-Rosedale (1111),312824.186,4835360.874,-79.40051496,43.65814872,3298560,207,14,No,Yes,No,,Proposed,,,Bike Corral,"{u'type': u'Point', u'coordinates': (-79.4005149554, 43.6581487248)}"
1172,10222743,325,King St W,325 King St W,M5V 1J5,former TORONTO,Toronto,10222742,325,,,,3780,Spadina-Fort York (1010),313591.495,4834027.582,-79.39102671,43.64614721,2364947,208,14,No,Yes,No,,Proposed,,,Bike Corral,"{u'type': u'Point', u'coordinates': (-79.391023464, 43.6461386323)}"
1173,7929471,360,Bay St,360 Bay St,M5H 2V6,former TORONTO,Toronto,7929469,360,,,,2962,Spadina-Fort York (1010),314363.975,4834538.144,-79.38144226,43.65073343,2024744,209,28,No,Yes,No,,Proposed,,,Bike Corral,"{u'type': u'Point', u'coordinates': (-79.3814390312, 43.6507248479)}"
1174,10223672,455,King St W,455 King St W,M5V 1K4,former TORONTO,Toronto,10223667,455,,,,3780,Spadina-Fort York (1010),313188.566,4833899.755,-79.39602325,43.64500125,2896822,210,14,No,Yes,No,,Proposed,,,Bike Corral,"{u'type': u'Point', u'coordinates': (-79.3960200183, 43.6449926684)}"
1175,828038,50,King St E,50 King St E,M5C 1E5,former TORONTO,Toronto,1145520,50,,,,3779,Toronto Centre (1313),314783.393,4834432.243,-79.37624487,43.64977467,3006364,211,14,No,Yes,No,,Proposed,,,Bike Corral,"{u'type': u'Point', u'coordinates': (-79.3762416345, 43.6497660862)}"
1176,30043514,58,Macaulay Ave,58 Macaulay Ave,M6P 3P6,former TORONTO,Toronto,30043036,58,,,,20848,Davenport (909),308564.372,4835722.005,-79.45332621,43.66143315,4318570,212,14,No,Yes,No,,Proposed,,,Bike Corral,"{u'type': u'Point', u'coordinates': (-79.4533262142, 43.6614331515)}"
1177,7846349,76,Kensington Ave,76 Kensington Ave,M5T 2K1,former TORONTO,Toronto,7846321,76,,,,9813,University-Rosedale (1111),312791.671,4834960.543,-79.40092724,43.65455414,2754723,213,14,No,Yes,No,,Installed,,,Bike Corral,"{u'type': u'Point', u'coordinates': (-79.4009240054, 43.6545455602)}"
1178,7792706,700,University Ave,700 University Ave,M5G 1X7,former TORONTO,Toronto,7792702,700,,,,4583,University-Rosedale (1111),313576.341,4835457.248,-79.39119131,43.65901631,2429229,214,14,No,Yes,,,Installed,,,Bike Corral,"{u'type': u'Point', u'coordinates': (-79.3911880758, 43.6590077232)}"
1179,879005,1,Wales Ave,1 Wales Ave,M5T 1J2,former TORONTO,Toronto,1144936,1,,,,4615,University-Rosedale (1111),312732.96,4834804.254,-79.4016574,43.65314796,2801910,215,14,No,Yes,,,Proposed,,,Bike Corral,"{u'type': u'Point', u'coordinates': (-79.4016541643, 43.6531393779)}"
1180,10223856,267,Richmond St W,267 Richmond St W,M5V 3M6,former TORONTO,Toronto,10223853,267,,,,4277,Spadina-Fort York (1010),313539.582,4834315.942,-79.3916623,43.64873488,4146385,216,14,No,Yes,,,Installed,,,Bike Corral,"{u'type': u'Point', u'coordinates': (-79.3916622947, 43.6487348732)}"
1181,8292978,300,Campbell Ave,300 Campbell Ave,M6P 3V6,former TORONTO,Toronto,14013754,300,,,,3109,Davenport (909),308820.324,4836193.872,-79.45014919,43.66567924,4144320,217,14,No,Yes,No,,Installed,In pay and display,,Bike Corral,"{u'type': u'Point', u'coordinates': (-79.4501491971, 43.6656792457)}"
1182,13971017,1175,Dundas St E,1175 Dundas St E,,former TORONTO,Toronto,7576983,1175,,,,3334,Toronto-Danforth (1414),317561.812,4836069.312,-79.34176383,43.66446797,2218326,218,5,No,No,,concrete,Installed,back of walk,Angled,Multi-Bike Rack (Angled),"{u'type': u'Point', u'coordinates': (-79.3417606, 43.6644593861)}"
1183,857005,1360,Queen St W,1360 Queen St W,M6K 1L7,former TORONTO,Toronto,1146832,1360,,,,4238,Parkdale-High Park (404),310220.593,4833523.134,-79.43281636,43.64163869,2589451,219,8,No,No,,concrete,Installed,back of walk,Stacker,Multi-Bike Rack,"{u'type': u'Point', u'coordinates': (-79.4328131013, 43.6416301079)}"
1184,9212134,166,Alberta Ave,166 Alberta Ave,,former TORONTO,Toronto,9212137,166,,,,404,Davenport (909),310122.389,4837820.836,-79.4339912,43.68032447,3187415,220,5,No,No,,concrete,Installed,end of Alberta,Angled,Multi-Bike Rack (Angled),"{u'type': u'Point', u'coordinates': (-79.4339879436, 43.6803158877)}"
1185,10906828,180,Elizabeth St,180 Elizabeth St,,former TORONTO,Toronto,10906830,180,,,,9766,University-Rosedale (1111),313957.092,4835320.861,-79.38647296,43.65778405,1576283,221,5,No,No,,concrete,Installed,front of walk,Angled,Multi-Bike Rack (Angled),"{u'type': u'Point', u'coordinates': (-79.3864697233, 43.6577754678)}"
1186,12464520,2246,Lake Shore Blvd W,2246 Lake Shore Blvd W,M8V 1A5,ETOBICOKE,Toronto,12464517,2246,,,,1962,Etobicoke-Lakeshore (303),306134.015,4831228.952,-79.48347414,43.6210064,2897074,222,8,No,No,,concrete,Installed,back of walk,Stacker,Multi-Bike Rack,"{u'type': u'Point', u'coordinates': (-79.4834708719, 43.6209978265)}"
1187,3259899,25,Overlea Blvd,25 Overlea Blvd,M4H 1P9,EAST YORK,Toronto,3259897,25,,,,278,Don Valley West (1515),316904.079,4840499.829,-79.34981987,43.70435929,3136158,223,8,No,No,,concrete pad,Installed,boulevard,Stacker,Multi-Bike Rack,"{u'type': u'Point', u'coordinates': (-79.3498166394, 43.7043506933)}"
